naslov,ESRB_deskriptor
The Legend of Zelda: Ocarina of Time,Violence
Tony Hawk's Pro Skater 2,Language
Tony Hawk's Pro Skater 2,Violence
Grand Theft Auto IV,Blood
Grand Theft Auto IV,Intense Violence
Grand Theft Auto IV,Language
Grand Theft Auto IV,Nudity
Grand Theft Auto IV,Partial Nudity
Grand Theft Auto IV,Sexual Content
Grand Theft Auto IV,Strong Language
Grand Theft Auto IV,Strong Sexual Content
Grand Theft Auto IV,Use of Drugs
Grand Theft Auto IV,Use of Alcohol
Grand Theft Auto IV,Violence
SoulCalibur,Suggestive Themes
SoulCalibur,Violence
Grand Theft Auto IV,Blood
Grand Theft Auto IV,Intense Violence
Grand Theft Auto IV,Language
Grand Theft Auto IV,Nudity
Grand Theft Auto IV,Partial Nudity
Grand Theft Auto IV,Sexual Content
Grand Theft Auto IV,Strong Language
Grand Theft Auto IV,Strong Sexual Content
Grand Theft Auto IV,Use of Drugs
Grand Theft Auto IV,Use of Alcohol
Grand Theft Auto IV,Violence
Super Mario Galaxy,Violence
Tony Hawk's Pro Skater 2,Language
Tony Hawk's Pro Skater 2,Violence
Tony Hawk's Pro Skater 3,Blood
Tony Hawk's Pro Skater 3,Lyrics
Tony Hawk's Pro Skater 3,Suggestive Themes
Perfect Dark,Animated Blood
Perfect Dark,Blood
Perfect Dark,Violence
Metroid Prime,Violence
Grand Theft Auto III,Blood
Grand Theft Auto III,Language
Grand Theft Auto III,Strong Language
Grand Theft Auto III,Violence
Halo: Combat Evolved,Blood
Halo: Combat Evolved,Blood and Gore
Halo: Combat Evolved,Violence
Half-Life 2,Blood
Half-Life 2,Intense Violence
Half-Life 2,Violence
BioShock,Blood
BioShock,Blood and Gore
BioShock,Drug Reference
BioShock,Intense Violence
BioShock,Language
BioShock,Sexual Themes
BioShock,Strong Language
BioShock,Violence
GoldenEye 007,Animated Blood
GoldenEye 007,Blood
GoldenEye 007,Violence
Uncharted 2: Among Thieves,Blood
Uncharted 2: Among Thieves,Language
Uncharted 2: Among Thieves,Suggestive Themes
Uncharted 2: Among Thieves,Violence
Resident Evil 4,Blood
Resident Evil 4,Blood and Gore
Resident Evil 4,Intense Violence
Resident Evil 4,Violence
The Orange Box,Blood
The Orange Box,Blood and Gore
The Orange Box,Intense Violence
The Orange Box,Language
The Orange Box,Mild Violence
The Orange Box,Violence
The Orange Box,Blood
The Orange Box,Blood and Gore
The Orange Box,Intense Violence
The Orange Box,Language
The Orange Box,Violence
Batman: Arkham City,Alcohol Reference
Batman: Arkham City,Blood
Batman: Arkham City,Language
Batman: Arkham City,Suggestive Themes
Batman: Arkham City,Use of Tobacco
Batman: Arkham City,Violence
Tekken 3,Violence
Mass Effect 2,Blood
Mass Effect 2,Drug Reference
Mass Effect 2,Language
Mass Effect 2,Sexual Content
Mass Effect 2,Strong Language
Mass Effect 2,Violence
The Legend of Zelda: Twilight Princess,Animated Blood
The Legend of Zelda: Twilight Princess,Blood
The Legend of Zelda: Twilight Princess,Fantasy Violence
The Legend of Zelda: Twilight Princess,Violence
The Elder Scrolls V: Skyrim,Blood
The Elder Scrolls V: Skyrim,Blood and Gore
The Elder Scrolls V: Skyrim,Intense Violence
The Elder Scrolls V: Skyrim,Sexual Themes
The Elder Scrolls V: Skyrim,Use of Alcohol
The Elder Scrolls V: Skyrim,Violence
Resident Evil 4,Blood
Resident Evil 4,Blood and Gore
Resident Evil 4,Intense Violence
Resident Evil 4,Language
Resident Evil 4,Violence
The Legend of Zelda: The Wind Waker,Violence
BioShock,Blood
BioShock,Blood and Gore
BioShock,Drug Reference
BioShock,Intense Violence
BioShock,Language
BioShock,Sexual Themes
BioShock,Strong Language
BioShock,Violence
Metal Gear Solid 2: Sons of Liberty,Animated Blood
Metal Gear Solid 2: Sons of Liberty,Blood
Metal Gear Solid 2: Sons of Liberty,Violence
Baldur's Gate II: Shadows of Amn,Animated Blood
Baldur's Gate II: Shadows of Amn,Blood
Baldur's Gate II: Shadows of Amn,Use of Alcohol
Baldur's Gate II: Shadows of Amn,Violence
Grand Theft Auto: San Andreas,Blood
Grand Theft Auto: San Andreas,Blood and Gore
Grand Theft Auto: San Andreas,Intense Violence
Grand Theft Auto: San Andreas,Language
Grand Theft Auto: San Andreas,Nudity
Grand Theft Auto: San Andreas,Sexual Content
Grand Theft Auto: San Andreas,Strong Language
Grand Theft Auto: San Andreas,Strong Sexual Content
Grand Theft Auto: San Andreas,Use of Drugs
Grand Theft Auto: San Andreas,Violence
Grand Theft Auto: Vice City,Blood
Grand Theft Auto: Vice City,Blood and Gore
Grand Theft Auto: Vice City,Language
Grand Theft Auto: Vice City,Sexual Content
Grand Theft Auto: Vice City,Strong Language
Grand Theft Auto: Vice City,Strong Sexual Content
Grand Theft Auto: Vice City,Violence
LittleBigPlanet,Comic Mischief
LittleBigPlanet,Violence
The Legend of Zelda Collector's Edition,Violence
Red Dead Redemption,Blood
Red Dead Redemption,Intense Violence
Red Dead Redemption,Language
Red Dead Redemption,Nudity
Red Dead Redemption,Sexual Content
Red Dead Redemption,Strong Language
Red Dead Redemption,Strong Sexual Content
Red Dead Redemption,Use of Drugs
Red Dead Redemption,Violence
Gran Turismo 3: A-Spec,Lyrics
Halo 2,Blood
Halo 2,Blood and Gore
Halo 2,Language
Halo 2,Sexual Themes
Halo 2,Violence
