naslov,platforma
The Legend of Zelda: Ocarina of Time,Nintendo 64
Tony Hawk's Pro Skater 2,PlayStation
Tony Hawk's Pro Skater 2,PC
Grand Theft Auto IV,PlayStation 3
Grand Theft Auto IV,Xbox 360
SoulCalibur,Dreamcast
Grand Theft Auto IV,Xbox 360
Grand Theft Auto IV,PlayStation 3
Super Mario Galaxy,Wii
Super Mario Galaxy 2,Wii
Red Dead Redemption 2,Xbox One
Red Dead Redemption 2,PlayStation 4
Red Dead Redemption 2,Stadia
Grand Theft Auto V,Xbox One
Grand Theft Auto V,PlayStation 3
Grand Theft Auto V,PlayStation 4
Grand Theft Auto V,Xbox 360
Grand Theft Auto V,PlayStation 3
Grand Theft Auto V,PlayStation 4
Grand Theft Auto V,Xbox 360
Grand Theft Auto V,Xbox One
Grand Theft Auto V,Xbox 360
Grand Theft Auto V,PlayStation 3
Grand Theft Auto V,PlayStation 4
Grand Theft Auto V,Xbox One
Tony Hawk's Pro Skater 2,Dreamcast
Tony Hawk's Pro Skater 2,PC
The Legend of Zelda: Breath of the Wild,Switch
Tony Hawk's Pro Skater 3,PlayStation 2
Perfect Dark,Nintendo 64
Red Dead Redemption 2,PlayStation 4
Red Dead Redemption 2,Stadia
Red Dead Redemption 2,Xbox One
Grand Theft Auto V,PlayStation 4
Grand Theft Auto V,PlayStation 3
Grand Theft Auto V,Xbox 360
Grand Theft Auto V,Xbox One
Metroid Prime,GameCube
Grand Theft Auto III,PlayStation 2
Grand Theft Auto III,PlayStation 4
Super Mario Odyssey,Switch
Halo: Combat Evolved,Xbox
NFL 2K1,Dreamcast
Half-Life 2,PC
Grand Theft Auto V,PC
Grand Theft Auto V,PlayStation 4
Grand Theft Auto V,Xbox 360
Grand Theft Auto V,Xbox One
The Legend of Zelda: Breath of the Wild,Wii U
BioShock,Xbox 360
BioShock,PC
BioShock,PlayStation 3
GoldenEye 007,Nintendo 64
Uncharted 2: Among Thieves,PlayStation 3
Resident Evil 4,GameCube
The Orange Box,Xbox 360
The Orange Box,PlayStation 3
The Orange Box,PC
The Orange Box,Xbox 360
Batman: Arkham City,PlayStation 3
Batman: Arkham City,Xbox 360
Tekken 3,PlayStation
Mass Effect 2,Xbox 360
Mass Effect 2,PlayStation 3
The Legend of Zelda: Twilight Princess,GameCube
The Elder Scrolls V: Skyrim,Xbox 360
The Elder Scrolls V: Skyrim,PlayStation 3
Half-Life,PC
Resident Evil 4,PlayStation 2
Resident Evil 4,PlayStation 3
Resident Evil 4,PlayStation 4
Resident Evil 4,Switch
Resident Evil 4,Xbox 360
Resident Evil 4,Xbox One
The Legend of Zelda: The Wind Waker,GameCube
Gran Turismo,PlayStation
BioShock,PC
BioShock,PlayStation 3
BioShock,Xbox 360
Metal Gear Solid 2: Sons of Liberty,PlayStation 2
Grand Theft Auto Double Pack,Xbox
Baldur's Gate II: Shadows of Amn,PC
Grand Theft Auto: San Andreas,PlayStation 2
Grand Theft Auto: San Andreas,PC
Grand Theft Auto: San Andreas,PlayStation 3
Grand Theft Auto: San Andreas,PlayStation 4
Grand Theft Auto: San Andreas,Xbox 360
Grand Theft Auto: Vice City,PlayStation 2
Grand Theft Auto: Vice City,PlayStation 3
Grand Theft Auto: Vice City,PlayStation 4
LittleBigPlanet,PlayStation 3
The Legend of Zelda Collector's Edition,GameCube
Red Dead Redemption,PlayStation 3
Gran Turismo 3: A-Spec,PlayStation 2
Halo 2,Xbox
The Legend of Zelda: A Link to the Past,Game Boy Advance
