naslov,publisher

The Legend of Zelda: Ocarina of Time,Nintendo

Tony Hawk's Pro Skater 2,Activision

Grand Theft Auto IV,Rockstar Games

SoulCalibur,Namco

Grand Theft Auto IV,Rockstar Games

Super Mario Galaxy,Nintendo

Super Mario Galaxy 2,Nintendo

Red Dead Redemption 2,Rockstar Games

Grand Theft Auto V,Rockstar Games

Grand Theft Auto V,Rockstar Games

Grand Theft Auto V,Rockstar Games

Tony Hawk's Pro Skater 2,Activision

The Legend of Zelda: Breath of the Wild,Nintendo

Tony Hawk's Pro Skater 3,Activision

Perfect Dark,Nintendo

Red Dead Redemption 2,Rockstar Games

Grand Theft Auto V,Rockstar Games

Metroid Prime,Nintendo

Grand Theft Auto III,Rockstar Games

Super Mario Odyssey,Nintendo

Halo: Combat Evolved,Microsoft Game Studios

NFL 2K1,Sega

Half-Life 2,VU Games

Grand Theft Auto V,Rockstar Games

The Legend of Zelda: Breath of the Wild,Nintendo

BioShock,2K Games

GoldenEye 007,Nintendo

Uncharted 2: Among Thieves,SCEA

Resident Evil 4,Capcom

The Orange Box,EA Games

The Orange Box,EA Games

Batman: Arkham City,Warner Bros. Interactive Entertainment

Tekken 3,Namco

Mass Effect 2,Electronic Arts

The Legend of Zelda: Twilight Princess,Nintendo

The Elder Scrolls V: Skyrim,Bethesda Softworks

Half-Life,Sierra Entertainment

Resident Evil 4,Capcom

The Legend of Zelda: The Wind Waker,Nintendo

Gran Turismo,SCEA

BioShock,2K Games

Metal Gear Solid 2: Sons of Liberty,Konami

Grand Theft Auto Double Pack,Rockstar Games

Baldur's Gate II: Shadows of Amn,Interplay

Grand Theft Auto: San Andreas,Rockstar Games

Grand Theft Auto: Vice City,Rockstar Games

LittleBigPlanet,SCEA

The Legend of Zelda Collector's Edition,Nintendo

Red Dead Redemption,Rockstar Games

Gran Turismo 3: A-Spec,SCEA

Halo 2,Microsoft Game Studios

The Legend of Zelda: A Link to the Past,Nintendo

The Legend of Zelda: Majora's Mask,Nintendo

The Last of Us,SCEA

The Legend of Zelda: Twilight Princess,Nintendo

Madden NFL 2003,EA Sports

Tony Hawk's Pro Skater 2,Activision

Persona 5 Royal,Atlus

The Last of Us Remastered,SCEA

Portal 2,Valve Software

Red Dead Redemption,Rockstar Games

Red Dead Redemption,Rockstar San Diego

Portal 2,Valve Software

Metal Gear Solid V: The Phantom Pain,Konami

Portal 2,Valve Software

World of Goo,2D Boy

The Elder Scrolls V: Skyrim,Bethesda Softworks

BioShock Infinite,2K Games

Final Fantasy IX,Square EA

Call of Duty: Modern Warfare 2,Activision

God of War,Sony Interactive Entertainment

Tony Hawk's Pro Skater 4,Activision

Devil May Cry,Capcom

Call of Duty 4: Modern Warfare,Activision

Madden NFL 2002,EA Sports

Batman: Arkham City,Warner Bros. Interactive Entertainment

Mass Effect 2,Electronic Arts

The Legend of Zelda: Ocarina of Time 3D,Nintendo

Chrono Cross,Square EA

Celeste,Matt Makes Games Inc.

BioShock,2K Games

Mass Effect 2,Electronic Arts

Grand Theft Auto: Vice City,Rockstar Games

Madden NFL 2004,EA Sports

Gears of War,Microsoft Game Studios

The Elder Scrolls IV: Oblivion,2K Games

Sid Meier's Civilization II,MicroProse

Quake,id Software

Call of Duty 4: Modern Warfare,Activision

BioShock Infinite,2K Games

Halo 3,Microsoft Game Studios

Ninja Gaiden Black,Tecmo

The Elder Scrolls IV: Oblivion,2K Games

Street Fighter IV,Capcom

Super Mario Advance 4: Super Mario Bros. 3,Nintendo

Jet Grind Radio,Sega

Metal Gear Solid,Konami

Grim Fandango,LucasArts

Tom Clancy's Splinter Cell Chaos Theory,Ubisoft

Burnout 3: Takedown,EA Games

Diablo,Blizzard Entertainment

Metal Gear Solid 3: Subsistence,Konami

Call of Duty: Modern Warfare 2,Activision

Metal Gear Solid 4: Guns of the Patriots,Konami

NCAA Football 2004,EA Sports

God of War,SCEA

Star Wars: Knights of the Old Republic,LucasArts

Sid Meier's Civilization IV,2K Games

Madden NFL 2004,EA Sports

Virtua Fighter 4,Sega

The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment

Burnout 3: Takedown,EA Games

Super Smash Bros. Brawl,Nintendo

Company of Heroes,THQ

Gran Turismo 2,SCEA

The Last of Us Part II,SCEA

The Last of Us Part II,Sony Interactive Entertainment

Tom Clancy's Splinter Cell Pandora Tomorrow,Ubisoft

Grand Theft Auto: Chinatown Wars,Rockstar Games

Divinity: Original Sin II - Definitive Edition,Larian Studios Games

Pac-Man Championship Edition DX,Namco Bandai Games

Street Fighter Alpha 3,Capcom

Tony Hawk's Pro Skater 3,Activision

Hades,Supergiant Games

Half-Life: Alyx,Valve Software

Divinity: Original Sin II,Larian Studios Games

Unreal Tournament 2004,Atari

Unreal Tournament 2004,Atari SA

BioShock Infinite,2K Games

Braid,Number None Inc.

God of War II,SCEA

Super Mario 3D World,Nintendo

Ori and the Will of the Wisps,Microsoft Game Studios

Starcraft II: Wings of Liberty,Blizzard Entertainment

SSX,EA Sports Big

Street Fighter IV,Capcom

Minecraft,Mojang AB

Undertale,tobyfox

Undertale,Fangamer

Persona 4 Golden,Atlus

Persona 5,Atlus

Red Dead Redemption 2,Rockstar Games

SSX 3,EA Sports Big

Tom Clancy's Splinter Cell,Ubisoft

Grand Theft Auto III,Rockstar Games

Quake III Arena,Sega

Homeworld,Sierra Entertainment

Okami,Capcom

The Elder Scrolls IV: Oblivion,Bethesda Softworks

Fallout 3,Bethesda Softworks

Gears of War 2,Microsoft Game Studios

SoulCalibur II,Namco

World Soccer Winning Eleven 6 International,Konami

NFL 2K3,Sega

Mass Effect 3,Electronic Arts

Metal Gear Solid V: The Phantom Pain,Konami

Skies of Arcadia,Sega

The Legend of Zelda: Skyward Sword,Nintendo

Mario Kart Super Circuit,Nintendo

Rock Band 3,MTV Games

Viewtiful Joe,Capcom

Test Drive Le Mans,Infogrames

NBA 2K1,Sega

Castlevania: Symphony of the Night,Konami

Star Wars: Knights of the Old Republic,LucasArts

Virtua Fighter 4: Evolution,Sega

Uncharted 4: A Thief's End,SCEA

Super Smash Bros. Ultimate,Nintendo

Braid,Number None Inc.

Mass Effect 3,Electronic Arts

Paper Mario,Nintendo

Wipeout XL,SCEE

Grand Theft Auto: San Andreas,Rockstar Games

Resident Evil 2,Capcom

INSIDE,PLAYDEAD

World of Warcraft,Blizzard Entertainment

Grand Theft Auto: San Andreas,Rockstar Games

Flipnote Studio,Nintendo

World Soccer Winning Eleven 7 International,Konami

NBA 2K2,Sega

SoulCalibur II,Namco

The Elder Scrolls V: Skyrim,Bethesda Softworks

Hades,Supergiant Games

Prince of Persia: The Sands of Time,Ubisoft

Call of Duty 4: Modern Warfare,Activision

Forza Horizon 4,Microsoft Game Studios

God of War III,SCEA

Divinity: Original Sin II - Definitive Edition,Larian Studios Games

NFL 2K3,Sega

SSX Tricky,EA Sports Big

NHL 2002,Electronic Arts

Guitar Hero II,RedOctane

Prince of Persia: The Sands of Time,Ubisoft

Uncharted 3: Drake's Deception,SCEA

Rock Band,Electronic Arts

Rock Band,MTV Games

Journey,SCEA

Bloodborne,SCEA

Eternal Darkness: Sanity's Requiem,Nintendo

Warcraft III: Reign of Chaos,Blizzard Entertainment

SSX 3,EA Sports Big

The Sims,Maxis

Banjo-Kazooie,Nintendo

Sid Meier's Gettysburg!,Electronic Arts

Celeste,Matt Makes Games Inc.

Rock Band 2,MTV Games

Forza Motorsport,Microsoft Game Studios

Madden NFL 2004,EA Sports

