naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev
The Legend of Zelda: Ocarina of Time,1998-11-23,99,22,9.1,5749,E,Nintendo,,1 Player
Tony Hawk's Pro Skater 2,2000-09-20,98,19,7.4,647,T,Neversoft Entertainment,,1-2 Players
Grand Theft Auto IV,2008-04-29,98,64,7.6,3806,M,Rockstar North,,1 Player
SoulCalibur,1999-09-08,98,24,8.5,324,T,Namco,,1-2 Players
Grand Theft Auto IV,2008-04-29,98,86,7.9,3364,M,Rockstar North,16 Players Online Up to 16 Players,1 Player
Super Mario Galaxy,2007-11-12,97,73,9.0,3060,E,Nintendo,,1-2 Players
Super Mario Galaxy 2,2010-05-23,97,87,9.1,2522,E,Nintendo EAD Tokyo ,,
Red Dead Redemption 2,2018-10-26,97,33,7.8,3186,M,Rockstar Games,Up to 32 Players,
Grand Theft Auto V,2014-11-18,97,14,7.8,1282,M,Rockstar North,,
Grand Theft Auto V,2013-09-17,97,50,8.3,4568,M,Rockstar North,,
Grand Theft Auto V,2013-09-17,97,58,8.3,3905,M,Rockstar North,,
Tony Hawk's Pro Skater 2,2000-11-06,97,18,6.2,88,T,Treyarch,,
The Legend of Zelda: Breath of the Wild,2017-03-03,97,109,8.6,15873,E10+,Nintendo,No Online Multiplayer,
Tony Hawk's Pro Skater 3,2001-10-28,97,34,7.6,406,T,Neversoft Entertainment,,1-2 Players
Perfect Dark,2000-05-22,97,30,8.9,420,M,Rare Ltd.,,
Red Dead Redemption 2,2018-10-26,97,99,8.4,14317,M,Rockstar Games,Up to 32 Players,
Grand Theft Auto V,2014-11-18,97,66,8.4,5899,M,Rockstar North,,
Metroid Prime,2002-11-17,97,70,9.2,1113,T,Retro Studios,,1 Player
Grand Theft Auto III,2001-10-22,97,56,8.4,881,M,DMA Design,,1 Player
Super Mario Odyssey,2017-10-27,97,113,8.9,5548,E10+,Nintendo,No Online Multiplayer,
Halo: Combat Evolved,2001-11-14,97,68,8.5,2052,M,Bungie Software,,1-4 Players
NFL 2K1,2000-09-07,97,22,6.4,67,E,Visual Concepts,,
Half-Life 2,2004-11-16,96,81,9.1,10773,M,Valve Software,No Online Multiplayer,1 Player
Grand Theft Auto V,2015-04-13,96,57,7.8,6661,M,Rockstar North,,
The Legend of Zelda: Breath of the Wild,2017-03-03,96,13,8.2,2245,E10+,Nintendo,No Online Multiplayer,
BioShock,2007-08-21,96,88,8.9,2572,M,"Irrational Games, 2K Marin",,1 Player
GoldenEye 007,1997-08-25,96,21,9.0,668,T,Rare Ltd.,,1-4 Players
Uncharted 2: Among Thieves,2009-10-13,96,105,8.8,6717,T,Naughty Dog,No Online Multiplayer,
Resident Evil 4,2005-01-11,96,82,9.2,1596,M,Capcom,,1 Player
The Orange Box,2007-10-10,96,54,8.8,879,M,Valve Software,,1 Player
The Orange Box,2007-10-10,96,34,9.2,1804,M,Valve Software,,1 Player
Batman: Arkham City,2011-10-18,96,42,8.8,2774,T,Rocksteady Studios,No Online Multiplayer,
Tekken 3,1998-04-29,96,15,9.1,660,T,Namco,,1-2 Players
Mass Effect 2,2010-01-26,96,98,8.9,3503,M,BioWare,No Online Multiplayer,
The Legend of Zelda: Twilight Princess,2006-12-11,96,16,8.9,823,T,Nintendo,,1 Player
The Elder Scrolls V: Skyrim,2011-11-11,96,89,8.6,3954,M,Bethesda Game Studios,,
Half-Life,1998-11-19,96,24,9.0,4321,M,Valve Software,,1-32 Players
Resident Evil 4,2005-10-25,96,38,9.0,1628,M,Capcom,,1 Player
The Legend of Zelda: The Wind Waker,2003-03-24,96,80,9.0,1370,E,Nintendo,,1 Player
Gran Turismo,1998-04-30,96,16,8.7,269,E,Polyphony Digital,,1-2 Players
BioShock,2007-08-21,96,44,8.6,4814,M,"Irrational Games, 2K Marin",,1 Player
Metal Gear Solid 2: Sons of Liberty,2001-11-12,96,42,8.8,1545,M,KCEJ,,1 Player
Grand Theft Auto Double Pack,2003-10-31,96,33,8.0,91,M,Rockstar North,,1 Player
Baldur's Gate II: Shadows of Amn,2000-09-24,95,30,9.1,1433,T,BioWare,,1-6 Players
Grand Theft Auto: San Andreas,2004-10-26,95,80,9.1,2444,M,Rockstar North,,1-2 Players
Grand Theft Auto: Vice City,2002-10-27,95,62,8.8,1092,M,Rockstar North,,1 Player
LittleBigPlanet,2008-10-27,95,85,6.8,5533,E,"SCE/WWS, Media Molecule",,1-4 Players
The Legend of Zelda Collector's Edition,2003-11-17,95,8,9.0,194,E,Nintendo,,1 Player
Red Dead Redemption,2010-05-18,95,73,8.9,3371,M,Rockstar San Diego,Up to 16 Players,
Gran Turismo 3: A-Spec,2001-07-09,95,54,8.4,386,E,Polyphony Digital,,1-2 Players
Halo 2,2004-11-09,95,91,8.4,1656,M,Bungie Software,,1-16 Players
The Legend of Zelda: A Link to the Past,2002-12-03,95,30,9.0,524,E,Capcom,,
The Legend of Zelda: Majora's Mask,2000-10-25,95,27,9.2,1198,E,Nintendo,,1 Player
The Last of Us,2013-06-14,95,98,9.2,11983,M,Naughty Dog,Up to 8 Players,
The Legend of Zelda: Twilight Princess,2006-11-19,95,73,8.9,2060,T,Nintendo,,1 Player
Madden NFL 2003,2002-08-12,95,25,7.5,66,E,EA Sports,,1-2 Players
Tony Hawk's Pro Skater 2,2001-05-30,95,16,6.8,38,E,Vicarious Visions,,
Persona 5 Royal,2020-03-31,95,71,8.2,2593,M,Atlus,No Online Multiplayer,
The Last of Us Remastered,2014-07-29,95,70,9.2,14564,M,Naughty Dog,Up to 8 Players,
Portal 2,2011-04-18,95,52,9.1,7482,E10+,Valve Software,,
Red Dead Redemption,2010-05-18,95,96,9.0,2847,M,Rockstar San Diego,Up to 16 Players,
Portal 2,2011-04-19,95,66,8.7,1073,E10+,Valve Software,2 Players,
Metal Gear Solid V: The Phantom Pain,2015-09-01,95,10,7.4,1173,M,"Kojima Productions, Moby Dick Studio",,
Portal 2,2011-04-19,95,54,8.5,1030,E10+,Valve Software,2 Players,
World of Goo,2008-10-13,94,21,8.7,378,E,2D Boy,,1-4 Players
The Elder Scrolls V: Skyrim,2011-11-10,94,32,8.3,11301,M,Bethesda Game Studios,No Online Multiplayer,
BioShock Infinite,2013-03-26,94,27,8.5,2207,M,Irrational Games,,
Final Fantasy IX,2000-11-13,94,22,9.0,1280,T,SquareSoft,,1 Player
